test_input,test_expected,regexp_search,regexp_replace,test_url
,,провулок,пров.,
,,тупик,туп.,
вулиця Стеценка,вул. Стеценка,вулиця,вул.,
,,бульвар,бул.,
,,площа,пл.,
,,проспект,просп.,
,,спуск,сп.,
,,набережна,наб.,
